MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorType,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
N00844,和東國小,2014-08-01,彰化縣,和美鎮,彰美路五段210號,24,落地型變壓器,2.346,mG,True
N00834,北斗國中,2014-08-01,彰化縣,北斗鎮,文苑路一段136號,24,落地型變壓器,19.125,mG,True
E00880,HE103-08-003,2014-08-26,高雄市,三民區,高雄市建工路610號附近,11,手機基地臺,0.0005,mW/cm<sup>2</sup>,True
H00872,桃園市南華街29號前(左邊)變電箱量測,2014-08-11,桃園縣,桃園市,南華街29號,24,落地型變壓器,64.1,mG,True
H00871,桃園市鎮南街13號變電箱量測,2014-07-28,桃園縣,桃園市,鎮南街13號,24,落地型變壓器,3.5,mG,True
H00870,桃園市南海路64號1樓前變電箱量測,2014-07-28,桃園縣,桃園市,南海路64號1樓,24,落地型變壓器,26.6,mG,True
H00869,桃園市南海街66號旁變電箱量測,2014-07-28,桃園縣,桃園市,南海街66號,24,落地型變壓器,25.8,mG,True
H00868,桃園市大同西路69巷15號對面變電箱量測,2014-08-08,桃園縣,桃園市,大同西路69巷15號,24,落地型變壓器,47.1,mG,True
H00867,桃園市大同西路73號對面變電箱量測,2014-07-08,桃園縣,桃園市,大同西路73號,24,落地型變壓器,23.3,mG,True
E00875,LE103-07-005 (明義國中旁),2014-07-28,高雄市,小港區,高雄市明義街2號,24,落地型變壓器,2.235,mG,True
Q10139,民雄鄉建國路民雄森林公園前,2014-08-18,嘉義縣,民雄鄉,建國路民雄森林公園前,24,落地型變壓器,2.989,mG,True
Q10138,民雄鄉建國路二段153之1號前-落地型變壓器,2014-08-18,嘉義縣,民雄鄉,建國路二段153之1號前,24,落地型變壓器,9.343,mG,True
Q10137,民雄鄉建國路二段175之11號前-落地型變壓器,2014-08-18,嘉義縣,民雄鄉,建國路二段175之11號前,24,落地型變壓器,1.939,mG,True
H00877,桃園市國際路2段25號旁落地型變壓器量測,2014-08-18,桃園縣,桃園市,國際路2段25號,24,落地型變壓器,33.1,mG,True
H00876,桃園市衡陽三街23-28號旁落地型變壓器量測,2014-08-18,桃園縣,桃園市,衡陽三街23-28號,24,落地型變壓器,25,mG,True
H00875,桃園市大同路200巷16號對面落地型變壓器量測,2014-08-13,桃園縣,桃園市,大同路200巷16號,24,落地型變壓器,68.7,mG,True
H00874,桃園市大同西路20號旁落地型變壓器量測,2014-08-13,桃園縣,桃園市,大同西路20號,24,落地型變壓器,5.8,mG,True
E00877,HE103-07-001(華南銀行旁),2014-07-31,高雄市,苓雅區,高雄市中山二路489號,11,手機基地臺,0.0011,mW/cm<sup>2</sup>,True
H00873,桃園市大同西路33巷2號旁落地型變壓器量測,2014-08-13,桃園縣,桃園市,大同西路33巷2號,24,落地型變壓器,13.5,mG,True
E00878,HE103-08-001(台灣銀行旁),2014-08-21,高雄市,苓雅區,高雄市青年一路261號附近,11,手機基地臺,0.0019,mW/cm<sup>2</sup>,True
P10122,大美S/S變電所,2014-08-14,雲林縣,莿桐鄉,大美村大美路103號,22,變電所,15.04,mG,True
P10124,麥寮橋頭國小前落地型變壓器(K0665 DE4722),2014-08-14,雲林縣,麥寮鄉,雲林縣麥寮鄉橋頭村仁德路248號前,24,落地型變壓器,19.29,mG,True
P10123,僑村S/S變電所,2014-08-14,雲林縣,麥寮鄉,崙後村沙崙後226之100,22,變電所,8.228,mG,True
N00829,國聲廣播電臺,2014-07-10,彰化縣,彰化市,溫泉路35號,13,AM廣播電臺,53.88,V/m,True
A00926,信義區仁愛路4段505號—基地台電磁波量測,2014-07-15,臺北市,信義區,仁愛路4段505號,11,手機基地臺,7.2E-05,mW/cm<sup>2</sup>,True
A00923,大潤發內湖二店4樓行動電話基地臺,2014-06-27,臺北市,內湖區,舊宗路1段188號,11,手機基地臺,0.00049061,mW/cm<sup>2</sup>,True
A00925,信義區忠孝東路四段捷運國父紀念館站出口1-基地台電磁波量測,2014-07-15,臺北市,信義區,忠孝東路四段捷運國父紀念館站出口1,11,手機基地臺,0.000295,mW/cm<sup>2</sup>,True
A00918,臺北/松山機場周圍射頻環境值,2014-06-27,臺北市,中山區,濱江街180巷,59,射頻環境值,0.001793103,mW/cm<sup>2</sup>,True
A00892,大同區承德路三段154號前人行道—落地型變壓器檢測,2014-05-14,臺北市,大同區,承德路三段154號,24,落地型變壓器,17.9,mG,True
H00850,桃園市龍安街與國強一街交叉口旁落地型變壓器量測,2014-06-11,桃園縣,桃園市,龍安街與國強一街交叉口,24,落地型變壓器,2,mG,True
A00906,信義區松信路與虎林街120巷口-落地型變壓器檢測,2014-06-04,臺北市,松山區,松信路與虎林街120巷口,24,落地型變壓器,13,mG,True
E00858,HE103-04-001,2014-04-28,高雄市,新興區,高雄市新興區中正四路25號附近,11,手機基地臺,0,mW/cm<sup>2</sup>,True
P10081,虎尾鎮中溪國小,2012-10-08,雲林縣,虎尾鎮,過溪路63號,91,學校極低頻設施,10,mG,True
H00856,桃園縣中壢市文化二路282號前落地型變壓器量測,2014-06-17,桃園縣,中壢市,桃園縣中壢市文化二路282號前,24,落地型變壓器,5,mG,True
C00605,基隆市市立武崙國民小學,2013-11-18,基隆市,安樂區,基隆市安樂區武崙街203號,91,學校極低頻設施,8,mG,True
G00653,五結鄉利工一路變電箱量測,2014-06-12,宜蘭縣,五結鄉,利工一路與利興二路交叉口,24,落地型變壓器,6,mG,True
G00650,五結鄉福德路變電箱量測,2014-06-12,宜蘭縣,五結鄉,福德路463號旁,24,落地型變壓器,72,mG,True
H00852,桃園市國豐六街38號旁落地型變壓器量測,2014-06-11,桃園縣,桃園市,國豐六街38號,24,落地型變壓器,4,mG,True
G00649,宜蘭市三清路變電箱量測,2014-06-12,宜蘭縣,宜蘭市,三清路與泰山路交叉口,24,落地型變壓器,1,mG,True
G00646,壯圍鄉中央路二段變電箱量測,2014-06-12,宜蘭縣,壯圍鄉,中央路二段311號前,24,落地型變壓器,5,mG,True
G00645,宜蘭市農權路變電箱量測,2014-06-11,宜蘭縣,宜蘭市,農權路154巷,24,落地型變壓器,33,mG,True
C00617,變電箱-仁一路321號前左側,2014-06-26,基隆市,仁愛區,仁一路321號前左側,24,落地型變壓器,5,mG,True
C00616,變電箱-仁一路321號前右側,2014-06-26,基隆市,仁愛區,仁一路321號前右側,24,落地型變壓器,9,mG,True
C00615,變電箱-仁一路295-12號對面,2014-06-26,基隆市,仁愛區,仁一路295-12號對面,24,落地型變壓器,2,mG,True
C00614,變電箱-仁一路283號對面,2014-06-26,基隆市,仁愛區,仁一路283號對面,24,落地型變壓器,4,mG,True
